,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableAndAccruedLiabilitiesCurrent,8064.000,4550.000,4500.000,800.000,8378.000,2750.000,2800.000,,,,
AccountsPayableCurrent,,,,,,,,95459.000,235223.000,230524.000,175748.000
AccountsReceivableNetCurrent,,,,,,,,187912.000,362016.000,304413.000,289089.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,,,10242.000,12982.000,15411.000,17697.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,,,,,,,,10000.000,9666.000,10167.000,6732.000
AdditionalPaidInCapital,44500.000,52000.000,52000.000,60000.000,78000.000,119662.000,119662.000,,,,
AdditionalPaidInCapitalCommonStock,,,,,,,,75708.000,75708.000,535555.000,725492.000
Assets,5747.000,4308.000,1237.000,914.000,139.000,23090.000,10182.000,1541118.000,1742875.000,2785520.000,2902788.000
AssetsCurrent,5747.000,4308.000,1237.000,914.000,139.000,23090.000,10182.000,416962.000,640808.000,992772.000,1099999.000
Cash,,,,,,,182.000,,,,
CashAndCashEquivalentsAtCarryingValue,3747.000,3808.000,1237.000,914.000,139.000,3090.000,,164478.000,195101.000,576015.000,516707.000
CommonStockParOrStatedValuePerShare,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CommonStockSharesAuthorized,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,100000000.000,200000000.000,200000000.000,200000000.000,200000000.000
CommonStockSharesIssued,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000,5376344.000,5376344.000,76804914.000,76804914.000,78338247.000,78971581.000
CommonStockSharesOutstanding,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000,5376344.000,5376344.000,76804914.000,76804914.000,78338247.000,78971581.000
CommonStockValue,500.000,500.000,500.000,500.000,500.000,538.000,538.000,7681.000,7681.000,7834.000,7898.000
ConvertibleLongTermNotesPayable,,,,,,,,1500482.000,1650482.000,2342697.000,2355120.000
DeferredTaxAssetsGross,,,,,25000.000,38000.000,43000.000,,,,
DeferredTaxAssetsLiabilitiesNet,,,,,,,,,,,226331.000
DeferredTaxAssetsLiabilitiesNetNoncurrent,,,,,,,,88567.000,112992.000,168232.000,226331.000
DeferredTaxAssetsOperatingLossCarryforwards,,,,,,,,,,,199720.000
DeferredTaxAssetsPropertyPlantAndEquipment,,,,,,,,,,,26611.000
DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,47317.000,52742.000,55763.000,60386.000,86739.000,99860.000,112818.000,,,,
DueToOfficersOrStockholdersNoncurrent,,,,,,,,23958.000,0.000,0.000,0.000
FiniteLivedIntangibleAssetsAccumulatedAmortization,,,,,,,,48126.000,97626.000,171883.000,217654.000
FiniteLivedIntangibleAssetsGross,,,,,,,,1070005.000,1068896.000,1780876.000,1780876.000
FiniteLivedIntangibleAssetsNet,,,,,,,,1021879.000,971270.000,1608993.000,1563222.000
Liabilities,8064.000,4550.000,4500.000,800.000,8378.000,2750.000,2800.000,1723366.000,2105971.000,2815476.000,2991182.000
LiabilitiesAndStockholdersEquity,5747.000,4308.000,1237.000,914.000,139.000,23090.000,10182.000,1541118.000,1742875.000,2785520.000,2902788.000
LiabilitiesCurrent,8064.000,4550.000,4500.000,800.000,8378.000,2750.000,2800.000,198926.000,455489.000,472779.000,636062.000
LiabilityForUncertainTaxPositionsCurrent,,,,,,0.000,0.000,,,,
OtherAssetsCurrent,,,,,,,,64572.000,83691.000,112344.000,294203.000
OtherLiabilitiesCurrent,,,,,,,,103467.000,220226.000,242255.000,460314.000
PreferredStockParOrStatedValuePerShare,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PreferredStockSharesAuthorized,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000
PreferredStockSharesIssued,0.000,0.000,0.000,0.000,,,,,,,
PreferredStockSharesOutstanding,0.000,0.000,0.000,0.000,,,,,,,
PreferredStockValue,0.000,0.000,0.000,0.000,,,,0.000,0.000,0.000,
PrepaidExpenseCurrent,2000.000,500.000,0.000,0.000,,20000.000,10000.000,,,,
PropertyPlantAndEquipmentGross,,,,,,,,23952.000,30787.000,30934.000,30933.000
PropertyPlantAndEquipmentNet,,,,,,,,13710.000,17805.000,15523.000,13236.000
RetainedEarningsAccumulatedDeficit,,,,,,,,-275637.000,-456151.000,-583512.000,-828516.000
SharesOutstanding,0.000,0.000,0.000,0.000,5000000.000,,,,,,
StockholdersEquity,,,,,,,7382.000,-182248.000,-363096.000,-29956.000,-88394.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,-2317.000,-242.000,-3263.000,114.000,-8239.000,20340.000,7382.000,-182248.000,-363096.000,-29956.000,-88394.000
